Accommodation,Agent company name,Country,Course,Course Fee After Scholarships,Course Scholarships Applied,CourseFee,Dependant Children,Dependant Partner,Nationality,Recorded Video Interview,Student Deposit Amount,Uni Deposit Amount,University,age,dataset_year,email_proxy,first_name_proxy,last_name_proxy
Arranged - private student accommodation,SI-UK,India,Master of Business Administration,0.0,0,28000,No,No,Indian,Passed,2000.0,0.0,missing,24.4,2022,email_00272,fname_00250,lname_00337
Arranged - private student accommodation,CRIZAC inc. Gateway & UCOL,India,MSc Engineering Management - Full Time,0.0,0,19150,No,No,Indian,Passed,2000.0,0.0,missing,27.0,2022,email_00133,fname_00126,lname_00033
Arranged - private student accommodation,AECC Global,India,MSc in Entrepreneurship,0.0,0,21250,No,No,Indian,Passed,2000.0,0.0,missing,29.5,2022,email_00108,fname_00096,lname_00158
Arranged - private rental,CRIZAC inc. Gateway & UCOL,India,MSc in Data Analytics - Full Time,0.0,0,17400,No,No,Indian,Passed,8700.0,0.0,missing,27.2,2022,email_00327,fname_00344,lname_00193
Arranged - private student accommodation,SI-UK,India,MSc in Business Analytics,0.0,0,21250,No,No,Indian,Passed,2000.0,0.0,missing,23.7,2022,email_00163,fname_00230,lname_00297
Arranged - private rental,SI-UK,India,MSc in Business Analytics,0.0,0,21250,No,No,Indian,Passed,2000.0,0.0,missing,24.0,2022,email_00270,fname_00392,lname_00248
Arranged - private student accommodation,AECC Global,India,MSc Engineering Management - Full Time,0.0,0,19150,No,No,Indian,Passed,12000.0,0.0,missing,23.2,2022,email_00406,fname_00389,lname_00341
Arranged - private rental,AEC – Abroad Education Consultants,India,MSc Computer Science (including Professional Practice),0.0,0,22750,No,No,Indian,Passed,2000.0,0.0,missing,28.8,2022,email_00195,fname_00177,lname_00248
Arranged - private student accommodation,CRIZAC inc. Gateway & UCOL,India,Master of Business Administration,0.0,0,28000,No,No,Indian,Passed,2000.0,0.0,missing,26.7,2022,email_00015,fname_00210,lname_00002
Arranged - private student accommodation,Oberois Education Link,India,MSc Business Psychology,0.0,0,21250,No,No,Indian,Passed,2000.0,0.0,missing,22.6,2022,email_00284,fname_00258,lname_00345
Arranged - private student accommodation,AEC – Abroad Education Consultants,India,MSc Investment Analysis,0.0,0,21250,No,No,Indian,Passed,2000.0,0.0,missing,24.4,2022,email_00096,fname_00087,lname_00081
Arranged - private student accommodation,The Chopras (TC Global),India,MSc Marketing and Entrepreneurship,0.0,0,21250,No,No,Indian,Passed,2000.0,0.0,missing,23.9,2022,email_00403,fname_00382,lname_00246
Arranged - staying with family,Global Opportunities,India,Master of Business Administration,0.0,0,28000,No,No,Indian,Passed,7000.0,0.0,missing,29.7,2022,email_00069,fname_00065,lname_00014
Arranged - staying with family,Santa Monica Overseas Studies & Placements,India,MSc in International Accounting and Finance,0.0,0,21250,Yes (2 children),Yes,Indian,Passed,2000.0,0.0,missing,33.2,2022,email_00290,fname_00267,lname_00001
Arranged - private student accommodation,Krishna Consultants,India,MSc in International Business,0.0,0,21250,No,No,Indian,Passed,4045.0,0.0,missing,21.7,2022,email_00330,fname_00310,lname_00063
Arranged - staying with family,CRIZAC inc. Gateway & UCOL,India,MSc Future Vehicle Technologies (including Professional Practice) - Full Time,0.0,0,22750,No,No,Indian,Passed,11405.0,0.0,missing,27.1,2022,email_00164,fname_00155,lname_00000
Arranged - private student accommodation,Krishna Consultants,India,MSc in Strategy and International Business,0.0,0,21250,No,No,Indian,Passed,2000.0,0.0,missing,22.4,2022,email_00248,fname_00232,lname_00322
Arranged - private rental,SI-UK,India,MSc in Business Analytics,0.0,0,21250,No,No,Indian,Passed,2000.0,0.0,missing,24.2,2022,email_00215,fname_00225,lname_00036
Arranged - private student accommodation,IDP Education,India,MSc in Business Analytics,0.0,0,21250,No,No,Indian,Passed,2000.0,0.0,missing,26.0,2022,email_00237,fname_00216,lname_00203
Arranged - private student accommodation,IDP Education,India,MSc in Business and Management,0.0,0,21250,No,No,Indian,Passed,2000.0,0.0,missing,21.8,2022,email_00093,fname_00086,lname_00072
Arranged - private student accommodation,Edwise,India,MSc in International Business,0.0,0,21250,No,No,Indian,Passed,2000.0,0.0,missing,22.8,2022,email_00218,fname_00198,lname_00054
